id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
3509,0.7154510000000001,8500000.0,5480996.0,A Scanner Darkly,100,2006-05-25,282,6.7,2006,9194187.84547836,5928624.32991947
1262,0.713697,30000000.0,53653224.0,Stranger Than Fiction,113,2006-09-09,378,6.9,2006,32450074.7487471,58035037.643709205
1852,0.711674,63000000.0,162945894.0,World Trade Center,128,2006-08-09,240,5.9,2006,68145156.972369,176253548.010047
9726,0.70435,35000000.0,42064105.0,A Good Year,118,2006-09-09,199,6.4,2006,37858420.540205,45499445.0496383
313,0.702198,12000000.0,1381665.0,Snow Cake,112,2006-02-09,23,7.4,2006,12980029.8994988,1494504.41759092
37725,0.701814,15500000.0,7385434.0,Itâ€™s a Boy Girl Thing,95,2006-12-26,127,6.2,2006,16765871.9535193,7988596.17839796
10073,0.6982970000000001,20000000.0,48548426.0,Date Movie,83,2006-02-17,103,3.9,2006,21633383.1658314,52513335.087800704
9788,0.692543,23000000.0,38505009.0,Accepted,93,2006-08-18,229,6.1,2006,24878390.6407061,41649680.675039396
7484,0.685491,85000000.0,197309027.0,Open Season,83,2006-09-29,395,6.1,2006,91941878.45478371,213423089.15841898
9907,0.674705,51000000.0,72779000.0,Barnyard,90,2006-08-04,124,5.3,2006,55165127.0728702,78722799.67130229
9828,0.67078,3700000.0,3338228.0,Unknown,98,2006-11-03,44,6.4,2006,4002175.88567881,3610858.27094536
1125,0.6477,70000000.0,154937680.0,Dreamgirls,134,2006-12-25,146,6.5,2006,75716841.0804101,167591309.913249
326,0.646745,33000000.0,62022014.0,Snakes on a Plane,105,2006-08-06,236,5.2,2006,35695082.2236219,67087299.6789281
8998,0.641047,6500000.0,13368437.0,Friends with Money,88,2006-09-07,67,5.0,2006,7030849.52889522,14460225.9974639
12094,0.638444,11000000.0,72778712.0,Jackass Number Two,95,2006-09-22,180,6.4,2006,11898360.741207302,78722488.1505847
4643,0.632875,70000000.0,55011732.0,The Guardian,139,2006-09-28,212,7.0,2006,75716841.0804101,59504493.848601505
4723,0.631574,17000000.0,374743.0,Southland Tales,144,2006-05-15,79,4.9,2006,18388375.690956697,405347.94538565795
9615,0.62873,85000000.0,158468292.0,The Fast and the Furious: Tokyo Drift,104,2006-06-03,1074,6.1,2006,91941878.45478371,171410264.023543
13967,0.620633,30000000.0,35078241.0,Miss Potter,92,2006-12-03,81,6.2,2006,32450074.7487471,37943051.416818894
9682,0.614854,38000000.0,29907685.0,Pulse,90,2006-08-11,71,5.1,2006,41103428.01507971,32350220.460399397
7874,0.609408,15000000.0,10903846.0,Black Snake Moan,116,2006-12-08,110,6.3,2006,16225037.3743735,11794353.9249609
11515,0.606808,50000000.0,9448082.0,Goya's Ghosts,114,2006-11-08,46,6.7,2006,54083457.9145786,10219698.9044097
9903,0.589842,25000000.0,11772461.0,The Hoax,116,2006-10-14,22,6.5,2006,27041728.9572893,12733907.980890302
8975,0.5828760000000001,20000000.0,22165608.0,The Marine,92,2006-10-13,94,5.0,2006,21633383.1658314,23975854.5483809
7510,0.569422999999999,12000000.0,6754898.0,Running with Scissors,116,2006-10-27,35,5.6,2006,12980029.8994988,7306564.83400542
10067,0.56593,50000000.0,61112916.0,The Shaggy Dog,98,2006-03-09,73,4.6,2006,54083457.9145786,66103956.410463504
9978,0.564215999999999,40000000.0,23937870.0,Stormbreaker,93,2006-07-21,120,5.0,2006,43266766.33166289,25892855.694192998
16781,0.552267,6000000.0,57231524.0,Madea's Family Reunion,110,2006-02-24,63,6.0,2006,6490014.94974943,61905574.392823905
9986,0.5366310000000001,85000000.0,144.0,Charlotte's Web,97,2006-12-15,161,6.0,2006,91941878.45478371,155.760358793986
12763,0.530814,30000000.0,34742066.0,Take the Lead,108,2006-03-17,79,6.4,2006,32450074.7487471,37579421.2875302
14113,0.529881,35000000.0,12506188.0,Zoom,83,2006-08-11,84,5.1,2006,37858420.540205,13527557.8473961
14191,0.514836,12000000.0,23006849.0,Aquamarine,104,2006-03-03,216,5.9,2006,12980029.8994988,24885798.9927713
9952,0.508401,10000000.0,7177143.0,Rescue Dawn,126,2006-09-09,158,6.6,2006,10816691.5829157,7763294.22774825
1116,0.5014310000000001,6500000.0,22889018.0,The Wind That Shakes the Barley,124,2006-05-18,71,6.5,2006,7030849.52889522,24758344.834180605
2207,0.49670299999999995,55000000.0,65664721.0,16 Blocks,105,2006-03-01,404,6.1,2006,59491803.7060365,71027503.49352092
512,0.48989799999999994,4000000.0,31584901.0,Scoop,96,2006-07-27,208,6.2,2006,4326676.63316629,34164413.2793926
17379,0.4819,45000000.0,38399961.0,Last Holiday,112,2006-01-13,72,6.4,2006,48675112.1231207,41536053.4932992
1259,0.467297,15000000.0,49469904.0,Notes on a Scandal,92,2006-12-25,119,6.3,2006,16225037.3743735,53510069.4204449
9829,0.46315500000000004,15000000.0,76286096.0,United 93,111,2006-04-28,180,6.6,2006,16225037.3743735,82516317.24967009
13185,0.46186499999999997,994000.0,165000.0,Kidulthood,89,2006-03-03,25,6.5,2006,1075179.14334182,178475.41111810898
9053,0.45811199999999996,21000000.0,480314.0,DOA: Dead or Alive,87,2006-09-07,116,4.9,2006,22715052.324123003,519540.840095658
1165,0.45121700000000003,15000000.0,123384128.0,The Queen,103,2006-09-15,159,6.6,2006,16225037.3743735,133460805.880299
5820,0.441629,60000000.0,77920346.0,The Sentinel,108,2006-04-19,112,5.6,2006,64900149.4974943,84284035.0716081
182,0.437529,32000000.0,5914908.0,The Good German,108,2006-12-08,46,5.8,2006,34613413.0653303,6397973.55773209
9664,0.43545100000000003,60000000.0,17800000.0,Flyboys,140,2006-09-22,179,6.1,2006,64900149.4974943,19253711.017589897
7304,0.433874,15000000.0,9500000.0,Running Scared,122,2006-01-06,174,6.8,2006,16225037.3743735,10275857.0037699
13668,0.405681,25000000.0,16158487.0,Catch and Release,111,2006-10-20,58,6.0,2006,27041728.9572893,17478137.0325553
1975,0.405342,20000000.0,39143839.0,The Grudge 2,102,2006-10-13,151,5.3,2006,21633383.1658314,42340683.3834308
13197,0.384988,8000000.0,143451.0,10th & Wolf,107,2006-02-19,12,6.0,2006,8653353.26633258,155166.522426084
9754,0.3804,45000000.0,82800000.0,Firewall,105,2006-02-10,145,5.4,2006,48675112.1231207,89562206.3065422
13249,0.46306800000000004,18000000.0,1196307.0,Seraphim Falls,115,2006-09-13,65,5.8,2006,19470044.8492483,1294008.38574831
13075,0.36789299999999997,2000000.0,622806.0,Sherrybaby,96,2006-09-08,14,6.5,2006,2163338.31658314,673670.041798941
13495,0.500077,24000000.0,23321954.0,Alatriste,145,2006-09-01,31,5.7,2006,25960059.7989977,25226638.352894697
2179,0.8771909999999989,22000000.0,13405595.0,Tenacious D in The Pick of Destiny,93,2006-11-22,206,6.2,2006,23796721.482414603,14500418.660047699
9895,0.360145,20000000.0,41237648.0,Man of the Year,115,2006-10-09,64,5.4,2006,21633383.1658314,44605492.0020841
9954,0.357462,20000000.0,37597471.0,The Covenant,97,2006-09-08,164,5.2,2006,21633383.1658314,40668024.8104618
10053,0.33726799999999996,15000000.0,66966987.0,When a Stranger Calls,87,2006-02-03,123,5.4,2006,16225037.3743735,72436124.4616127
9672,0.33058200000000004,13000000.0,1151330.0,Infamous,110,2006-11-16,24,5.5,2006,14061699.057790399,1245358.15201583
12795,0.32548499999999997,500000.0,745327.0,Another Gay Movie,92,2006-04-28,28,5.1,2006,540834.579145786,806197.228741983
14194,0.32090799999999997,11000000.0,46396427.0,Dhoom 2,147,2006-11-24,43,6.5,2006,11898360.741207302,50185584.1408264
9656,0.312729,9000000.0,21510851.0,Black Christmas,84,2006-12-25,44,5.3,2006,9735022.42462415,23267624.095305398
5172,0.312609,13000000.0,11130889.0,The Astronaut Farmer,104,2006-10-15,49,6.2,2006,14061699.057790399,12039939.3356669
10288,0.30727899999999997,8000000.0,426224.0,Fido,91,2006-09-07,61,6.7,2006,8653353.26633258,461033.35532366706
13960,0.30357399999999896,20000000.0,21170563.0,ATL,105,2006-03-31,14,5.3,2006,21633383.1658314,22899545.060768697
12526,0.300525,4000000.0,8059140.0,Bug,102,2006-05-19,61,5.6,2006,4326676.63316629,8717323.18035394
